timestamp_utc,timestamp_brussels,price_eur_mwh,bzn,source
2025-02-21T23:00:00.000Z,2025-02-22T00:00:00,55.52,BE,energy-charts
2025-02-22T00:00:00.000Z,2025-02-22T01:00:00,50.81,BE,energy-charts
2025-02-22T01:00:00.000Z,2025-02-22T02:00:00,49.24,BE,energy-charts
2025-02-22T02:00:00.000Z,2025-02-22T03:00:00,42.74,BE,energy-charts
2025-02-22T03:00:00.000Z,2025-02-22T04:00:00,41.39,BE,energy-charts
2025-02-22T04:00:00.000Z,2025-02-22T05:00:00,51.88,BE,energy-charts
2025-02-22T05:00:00.000Z,2025-02-22T06:00:00,56.08,BE,energy-charts
2025-02-22T06:00:00.000Z,2025-02-22T07:00:00,66.89,BE,energy-charts
2025-02-22T07:00:00.000Z,2025-02-22T08:00:00,71.3,BE,energy-charts
2025-02-22T08:00:00.000Z,2025-02-22T09:00:00,75.32,BE,energy-charts
2025-02-22T09:00:00.000Z,2025-02-22T10:00:00,70.04,BE,energy-charts
2025-02-22T10:00:00.000Z,2025-02-22T11:00:00,70.47,BE,energy-charts
2025-02-22T11:00:00.000Z,2025-02-22T12:00:00,69.22,BE,energy-charts
2025-02-22T12:00:00.000Z,2025-02-22T13:00:00,60.69,BE,energy-charts
2025-02-22T13:00:00.000Z,2025-02-22T14:00:00,67.13,BE,energy-charts
2025-02-22T14:00:00.000Z,2025-02-22T15:00:00,79.46,BE,energy-charts
2025-02-22T15:00:00.000Z,2025-02-22T16:00:00,92.85,BE,energy-charts
2025-02-22T16:00:00.000Z,2025-02-22T17:00:00,116.91,BE,energy-charts
2025-02-22T17:00:00.000Z,2025-02-22T18:00:00,126.41,BE,energy-charts
2025-02-22T18:00:00.000Z,2025-02-22T19:00:00,133.46,BE,energy-charts
2025-02-22T19:00:00.000Z,2025-02-22T20:00:00,125,BE,energy-charts
2025-02-22T20:00:00.000Z,2025-02-22T21:00:00,110.91,BE,energy-charts
2025-02-22T21:00:00.000Z,2025-02-22T22:00:00,109.5,BE,energy-charts
2025-02-22T22:00:00.000Z,2025-02-22T23:00:00,106.58,BE,energy-charts
2025-02-22T23:00:00.000Z,2025-02-23T00:00:00,100.69,BE,energy-charts
2025-02-23T00:00:00.000Z,2025-02-23T01:00:00,90.57,BE,energy-charts
2025-02-23T01:00:00.000Z,2025-02-23T02:00:00,87.59,BE,energy-charts
2025-02-23T02:00:00.000Z,2025-02-23T03:00:00,83.04,BE,energy-charts
2025-02-23T03:00:00.000Z,2025-02-23T04:00:00,83.56,BE,energy-charts
2025-02-23T04:00:00.000Z,2025-02-23T05:00:00,85.06,BE,energy-charts
2025-02-23T05:00:00.000Z,2025-02-23T06:00:00,86.01,BE,energy-charts
2025-02-23T06:00:00.000Z,2025-02-23T07:00:00,100.76,BE,energy-charts
2025-02-23T07:00:00.000Z,2025-02-23T08:00:00,102.59,BE,energy-charts
2025-02-23T08:00:00.000Z,2025-02-23T09:00:00,88.96,BE,energy-charts
2025-02-23T09:00:00.000Z,2025-02-23T10:00:00,73.47,BE,energy-charts
2025-02-23T10:00:00.000Z,2025-02-23T11:00:00,65.35,BE,energy-charts
2025-02-23T11:00:00.000Z,2025-02-23T12:00:00,57.56,BE,energy-charts
2025-02-23T12:00:00.000Z,2025-02-23T13:00:00,48.62,BE,energy-charts
2025-02-23T13:00:00.000Z,2025-02-23T14:00:00,43.71,BE,energy-charts
2025-02-23T14:00:00.000Z,2025-02-23T15:00:00,51.87,BE,energy-charts
2025-02-23T15:00:00.000Z,2025-02-23T16:00:00,69.91,BE,energy-charts
2025-02-23T16:00:00.000Z,2025-02-23T17:00:00,89.12,BE,energy-charts
2025-02-23T17:00:00.000Z,2025-02-23T18:00:00,125.77,BE,energy-charts
2025-02-23T18:00:00.000Z,2025-02-23T19:00:00,119.33,BE,energy-charts
2025-02-23T19:00:00.000Z,2025-02-23T20:00:00,97.11,BE,energy-charts
2025-02-23T20:00:00.000Z,2025-02-23T21:00:00,78.33,BE,energy-charts
2025-02-23T21:00:00.000Z,2025-02-23T22:00:00,75.81,BE,energy-charts
2025-02-23T22:00:00.000Z,2025-02-23T23:00:00,64.5,BE,energy-charts
2025-02-23T23:00:00.000Z,2025-02-24T00:00:00,34.36,BE,energy-charts
2025-02-24T00:00:00.000Z,2025-02-24T01:00:00,40.46,BE,energy-charts
2025-02-24T01:00:00.000Z,2025-02-24T02:00:00,28.11,BE,energy-charts
2025-02-24T02:00:00.000Z,2025-02-24T03:00:00,20.67,BE,energy-charts
2025-02-24T03:00:00.000Z,2025-02-24T04:00:00,27.49,BE,energy-charts
2025-02-24T04:00:00.000Z,2025-02-24T05:00:00,20.61,BE,energy-charts
2025-02-24T05:00:00.000Z,2025-02-24T06:00:00,62.82,BE,energy-charts
2025-02-24T06:00:00.000Z,2025-02-24T07:00:00,93.53,BE,energy-charts
2025-02-24T07:00:00.000Z,2025-02-24T08:00:00,112.34,BE,energy-charts
2025-02-24T08:00:00.000Z,2025-02-24T09:00:00,96.76,BE,energy-charts
2025-02-24T09:00:00.000Z,2025-02-24T10:00:00,84.18,BE,energy-charts
2025-02-24T10:00:00.000Z,2025-02-24T11:00:00,86.28,BE,energy-charts
2025-02-24T11:00:00.000Z,2025-02-24T12:00:00,84.19,BE,energy-charts
2025-02-24T12:00:00.000Z,2025-02-24T13:00:00,85.11,BE,energy-charts
2025-02-24T13:00:00.000Z,2025-02-24T14:00:00,88.21,BE,energy-charts
2025-02-24T14:00:00.000Z,2025-02-24T15:00:00,93.85,BE,energy-charts
2025-02-24T15:00:00.000Z,2025-02-24T16:00:00,104.84,BE,energy-charts
2025-02-24T16:00:00.000Z,2025-02-24T17:00:00,115.6,BE,energy-charts
2025-02-24T17:00:00.000Z,2025-02-24T18:00:00,142.28,BE,energy-charts
2025-02-24T18:00:00.000Z,2025-02-24T19:00:00,153.47,BE,energy-charts
2025-02-24T19:00:00.000Z,2025-02-24T20:00:00,131.77,BE,energy-charts
2025-02-24T20:00:00.000Z,2025-02-24T21:00:00,113.59,BE,energy-charts
2025-02-24T21:00:00.000Z,2025-02-24T22:00:00,111.67,BE,energy-charts
2025-02-24T22:00:00.000Z,2025-02-24T23:00:00,107.25,BE,energy-charts
2025-02-24T23:00:00.000Z,2025-02-25T00:00:00,90.95,BE,energy-charts
2025-02-25T00:00:00.000Z,2025-02-25T01:00:00,90.31,BE,energy-charts
2025-02-25T01:00:00.000Z,2025-02-25T02:00:00,91.99,BE,energy-charts
2025-02-25T02:00:00.000Z,2025-02-25T03:00:00,91.77,BE,energy-charts
2025-02-25T03:00:00.000Z,2025-02-25T04:00:00,92.52,BE,energy-charts
2025-02-25T04:00:00.000Z,2025-02-25T05:00:00,102.31,BE,energy-charts
2025-02-25T05:00:00.000Z,2025-02-25T06:00:00,125.82,BE,energy-charts
2025-02-25T06:00:00.000Z,2025-02-25T07:00:00,142.77,BE,energy-charts
2025-02-25T07:00:00.000Z,2025-02-25T08:00:00,153.26,BE,energy-charts
